application_id,customer_id,application_date,channel,customer_segment,age_group,employment_status,annual_income,monthly_expenses,existing_loans,requested_amount,loan_term_months,debt_to_income_ratio,credit_history_length,previous_defaults,documents_complete,verification_errors,manual_review,processing_time_hours,decision,decision_reason,application_status,annual_income_imputed
APP-016799,CUST-016799,2026-03-10,phone,self_employed,46-55,employed,49455.38,1616.88,0,60952.03,84,0.196,5.8,1,True,0,False,24.5,approved,acceptable debt-to-income ratio,completed,False
APP-005149,CUST-005149,2025-10-24,broker,retail_affluent,36-45,employed,108279.47,6242.15,0,80957.36,120,0.298,18.4,0,True,0,True,79.4,approved,clean credit history,completed,False
APP-017970,CUST-017970,2026-06-16,online,retail_affluent,26-35,employed,78576.81,3799.15,0,107439.25,60,0.222,4.6,0,True,0,True,98.1,approved,acceptable debt-to-income ratio,completed,False
APP-008732,CUST-008732,2025-07-29,broker,retail_mass,56-65,employed,57877.88,3830.07,2,65763.22,84,0.419,39.2,0,True,1,False,18.5,approved,stable income relative to requested amount,completed,False
APP-005865,CUST-005865,2025-11-03,online,retail_mass,26-35,employed,50771.7,1943.67,2,25941.57,24,0.2,11.9,0,True,1,False,23.2,approved,acceptable debt-to-income ratio,completed,False
APP-003617,CUST-003617,2025-08-10,phone,retail_mass,46-55,employed,54917.53,2744.99,4,43826.95,12,0.429,22.3,1,True,0,False,15.9,rejected,debt-to-income ratio above acceptable threshold,completed,False
APP-018087,CUST-018087,2025-11-27,mobile_app,self_employed,56-65,employed,54135.03,1594.65,1,65663.6,84,0.209,39.7,0,False,4,False,57.9,rejected,incomplete documentation,completed,False
APP-012553,CUST-012553,2025-04-23,branch,retail_affluent,46-55,employed,67386.34,3248.01,2,45651.27,48,0.311,22.7,0,True,0,False,11.3,approved,stable income relative to requested amount,completed,False
APP-005023,CUST-005023,2025-08-16,branch,retail_mass,56-65,self_employed,29150.16,1744.6,1,34643.04,24,0.364,21.1,0,True,0,False,25.7,approved,stable income relative to requested amount,completed,False
APP-010347,CUST-010347,2025-01-24,phone,retail_mass,56-65,employed,30005.34,1001.97,0,35344.33,60,0.145,0.6,0,True,1,False,24.6,approved,clean credit history,completed,False
APP-005022,CUST-005022,2026-01-07,branch,retail_mass,46-55,employed,29604.81,899.17,0,26409.38,36,0.106,6.7,0,True,0,False,15.3,approved,clean credit history,completed,False
APP-010168,CUST-010168,2026-04-12,mobile_app,small_business,36-45,self_employed,84203.37,4111.41,1,90447.55,84,0.283,2.9,0,True,0,False,15.6,approved,stable income relative to requested amount,completed,False
APP-014940,CUST-014940,2025-07-03,broker,self_employed,65+,self_employed,58611.28,2713.26,1,43188.46,48,0.249,18.1,0,False,3,False,57.5,approved,stable income relative to requested amount,completed,False
APP-002518,CUST-002518,2025-03-18,online,retail_affluent,26-35,employed,40355.09,2258.53,0,57258.4,48,0.273,8.6,0,True,0,False,23.7,approved,clean credit history,completed,False
APP-004007,CUST-004007,2025-12-20,phone,retail_mass,46-55,employed,38020.24,2553.23,0,42036.22,36,0.246,31.9,0,True,0,False,13.8,approved,clean credit history,completed,False
APP-014628,CUST-014628,2025-06-23,branch,retail_mass,18-25,unknown,53522.22,1628.78,0,22503.96,36,0.113,2.4,0,True,0,False,16.2,approved,acceptable debt-to-income ratio,completed,False
APP-015113,CUST-015113,2025-06-11,branch,self_employed,26-35,self_employed,108530.01,5866.49,1,173033.91,48,0.286,6.1,0,True,0,True,104.3,approved,acceptable debt-to-income ratio,completed,False
APP-012591,CUST-012591,2026-03-10,mobile_app,retail_mass,46-55,employed,27165.11,1628.44,0,11233.73,36,0.261,20.1,0,True,1,False,23.4,approved,acceptable debt-to-income ratio,completed,False
APP-019302,CUST-019302,2026-04-30,branch,small_business,56-65,self_employed,55952.3,2029.38,0,135483.1,60,0.152,2.6,0,True,0,False,12.1,approved,acceptable debt-to-income ratio,completed,False
APP-003287,CUST-003287,2025-04-18,phone,self_employed,26-35,self_employed,40356.93,2117.55,0,45768.62,48,0.257,9.4,0,True,1,False,17.2,approved,acceptable debt-to-income ratio,completed,False
APP-012919,CUST-012919,2026-01-23,online,retail_mass,26-35,employed,25786.92,1172.05,0,18734.51,24,0.17,6.5,0,False,1,False,42.7,approved,stable income relative to requested amount,completed,False
APP-010132,CUST-010132,2026-06-19,broker,self_employed,46-55,self_employed,36626.33,2181.65,0,50662.77,84,0.307,29.7,0,True,2,False,42.1,approved,clean credit history,completed,False
APP-017478,CUST-017478,2026-03-04,online,retail_mass,36-45,employed,21617.78,1396.74,0,13239.86,48,0.334,2.3,0,True,0,False,18.4,approved,stable income relative to requested amount,completed,False
APP-006536,CUST-006536,2025-07-06,mobile_app,self_employed,36-45,self_employed,33920.44,1695.65,0,16958.94,36,0.247,14.1,0,True,0,False,11.2,approved,stable income relative to requested amount,completed,False
APP-004653,CUST-004653,2025-04-23,branch,retail_mass,36-45,employed,72379.35,4625.52,1,34159.26,60,0.348,16.8,0,True,0,False,16.4,approved,stable income relative to requested amount,completed,False
APP-003843,CUST-003843,2025-06-12,branch,retail_affluent,65+,retired,40059.44,1929.91,1,31385.29,36,0.273,0.4,1,True,1,False,31.8,rejected,previous credit default on record,completed,False
APP-004193,CUST-004193,2025-01-20,broker,self_employed,26-35,self_employed,51494.4,2221.86,0,84601.55,60,0.266,11.8,0,True,0,False,21.2,approved,clean credit history,completed,False
APP-000606,CUST-000606,2025-06-24,mobile_app,retail_mass,36-45,employed,39178.28,2096.8,1,46550.38,48,0.306,15.1,0,True,1,False,17.8,approved,clean credit history,completed,False
APP-016550,CUST-016550,2025-12-26,mobile_app,retail_affluent,26-35,employed,77619.26,2672.29,1,80912.93,60,0.166,11.0,1,True,0,True,56.1,approved,clean credit history,completed,False
APP-006132,CUST-006132,2026-05-13,online,retail_affluent,26-35,employed,65678.72,3940.18,3,127155.64,60,0.391,6.7,0,False,3,True,97.5,approved,stable income relative to requested amount,completed,False
APP-012308,CUST-012308,2026-04-05,broker,retail_mass,56-65,self_employed,19480.53,1169.96,0,11700.81,48,0.286,34.3,0,True,0,False,17.4,approved,clean credit history,completed,False
APP-012838,CUST-012838,2025-12-01,online,retail_mass,56-65,employed,60225.31,2137.19,0,45549.1,24,0.105,37.5,0,True,1,False,22.1,rejected,income insufficient relative to requested amount,completed,False
APP-013815,CUST-013815,2026-03-17,online,retail_mass,36-45,employed,55840.22,3038.45,0,30067.73,48,0.245,5.2,0,True,0,False,22.7,approved,clean credit history,completed,False
APP-015445,CUST-015445,2025-01-30,branch,retail_mass,36-45,employed,69943.51,3091.89,1,64965.74,60,0.253,10.2,0,False,4,False,55.1,rejected,incomplete documentation,completed,False
APP-009209,CUST-009209,2026-01-16,phone,self_employed,65+,retired,23363.33,1386.98,1,38397.83,48,0.381,0.7,0,True,1,False,25.6,approved,stable income relative to requested amount,completed,False
APP-018724,CUST-018724,2025-01-13,online,retail_mass,26-35,employed,58562.42,3968.67,1,35809.58,60,0.342,11.8,0,False,2,True,71.5,approved,acceptable debt-to-income ratio,completed,False
APP-012792,CUST-012792,2025-09-07,online,retail_affluent,26-35,employed,65814.79,2239.53,1,40627.27,24,0.197,11.3,0,True,0,False,28.6,rejected,income insufficient relative to requested amount,completed,False
APP-018721,CUST-018721,2025-05-31,online,retail_affluent,36-45,employed,87289.33,5389.41,0,76907.38,60,0.309,12.8,0,True,0,False,12.6,approved,stable income relative to requested amount,completed,False
APP-004836,CUST-004836,2025-03-14,mobile_app,retail_affluent,65+,self_employed,55201.22,2728.65,0,73417.26,84,0.289,48.3,0,True,0,False,22.7,approved,stable income relative to requested amount,completed,False
